those are checkers , DET VERB NOUN
i never heard of a yyy , PRON ADV VERB ADP DET NOUN
cromer is not doing a thing , NOUN VERB ADV VERB DET NOUN
you knocked it off , PRON VERB PRON PRT
the other one is broken , DET ADJ NOUN VERB VERB
ask him if he will , VERB PRON ADP PRON VERB
big boys do not bother things like that , ADJ NOUN VERB ADV ADJ NOUN ADP DET
that is a lion , PRON VERB DET NOUN
that is a big camera , PRON VERB DET ADJ NOUN
over in the fish house , ADP ADP DET NOUN NOUN
she can not blow it , PRON VERB ADV VERB PRON
daddy went to school , NOUN VERB ADP NOUN
i do not know , PRON VERB ADV VERB
you are standing on your truck , PRON VERB VERB ADP DET NOUN
pick your cowboy book up , VERB DET NOUN NOUN PRT
the record in the folder , DET NOUN ADP DET NOUN
that fell out , PRON VERB PRT
that is ursula , PRON VERB NOUN
you will break it , PRON VERB VERB PRON
you like cereal , PRON VERB NOUN
blow it sideways , VERB PRON VERB
do not take that paper off the film , VERB ADV VERB DET NOUN ADP DET NOUN
careful with the pencil honey , ADJ ADP DET NOUN NOUN
the pin is broken , DET NOUN VERB VERB
little fish house , ADJ NOUN NOUN
he did not get that at the park , PRON VERB ADV VERB ADP ADP DET NOUN
i will have_to get a better pin , PRON VERB NOUN VERB DET ADJ NOUN
i can not ride in your wagon , PRON VERB ADV VERB ADP DET NOUN
it might hurt , PRON VERB VERB
let adam tear it , VERB NOUN VERB PRON
that is not a fire truck , PRON VERB ADV DET NOUN NOUN
those are her feet , DET VERB DET NOUN
that one fell out , DET NOUN VERB PRT
the record is in the folder , DET NOUN VERB ADP DET NOUN
go play the game with ursula , VERB VERB DET NOUN ADP NOUN
blow it on the side , VERB PRON ADP DET NOUN
now pick the things up , ADV VERB DET NOUN PRT
because bobo crying , ADP NOUN VERB
i think perhaps you had better give it back to ursula , PRON VERB ADV PRON VERB ADV VERB PRON ADV ADP NOUN
do not throw adam , VERB ADV VERB NOUN
blow into here , VERB ADP ADV
there it goes , ADV PRON VERB
we are jesus , PRON VERB NOUN
he does not like raisin bran , PRON VERB ADV ADP NOUN NOUN
wait i need that , VERB PRON VERB PRON
i do not think so , PRON VERB ADV VERB ADV
peter piper picked , NOUN NOUN VERB
that is a hippopotamus , PRON VERB DET NOUN
laughing about cromer , VERB ADP NOUN
i am not going anyplace , PRON VERB ADV VERB NOUN
that is a porcupine , PRON VERB DET NOUN
they do not need teeth , PRON VERB ADV VERB NOUN
it is red , PRON VERB ADJ
you should have told mommy you had to go upstairs , PRON VERB VERB VERB NOUN PRON VERB PRT VERB ADV
that is a butterfly , PRON VERB DET ADV
they do not talk like we talk , PRON VERB ADV VERB ADP PRON VERB
i think they talk to each_other , PRON VERB PRON VERB PRT VERB
there is a grey crayon , PRT VERB DET ADJ NOUN
he did not want you to take a nap , PRON VERB ADV VERB PRON PRT VERB DET NOUN
adam do not kick anybody , NOUN VERB ADV ADJ NOUN
he dropped his pencil , PRON VERB DET NOUN
it is a birthday cake , PRON VERB DET NOUN NOUN
that is a c , PRON VERB DET NOUN
you are dripping , PRON VERB VERB
do not scratch the record , VERB ADV VERB DET NOUN
it sounded like freight , PRON VERB ADP NOUN
you are supposed to drink it honey , PRON VERB VERB PRT VERB PRON NOUN
this is not tape , DET VERB ADV NOUN
she did not get hurt , PRON VERB ADV VERB VERB
do not take them out adam , VERB ADV VERB PRON ADP NOUN
you do not eat it with a spoon , PRON VERB ADV VERB PRON ADP DET NOUN
put the toys in the basket , VERB DET NOUN ADP DET NOUN
adam be careful with the pencil , NOUN VERB ADJ ADP DET NOUN
do not run it on him , VERB ADV VERB PRON ADP PRON
people take wood and put it together and make a chair , NOUN VERB NOUN CONJ VERB PRON ADV CONJ VERB DET NOUN
you open it , PRON VERB PRON
you have two , PRON VERB NUM
he is too tiny , PRON VERB ADV ADJ
that is a monkey , PRON VERB DET NOUN
put it on the floor , VERB PRON ADP DET NOUN
because little boys do not smoke cigarettes , ADP ADJ NOUN VERB ADV VERB NOUN
ask him if he can , VERB PRON ADP PRON VERB
you need a saw , PRON VERB DET VERB
ursula has boots on , NOUN VERB NOUN ADP
you are not supposed to throw anything in the air , PRON VERB ADV VERB PRT VERB NOUN ADP DET NOUN
adam pick the pencil up and put it on the table , NOUN VERB DET NOUN PRT CONJ VERB PRON ADP DET NOUN
that is some turquoise , PRON VERB DET NOUN
i think that says meow , PRON VERB PRON VERB ADV
i think you have had enough , PRON VERB PRON VERB VERB ADV
you need carpenter tools , PRON VERB NOUN NOUN
that is a key chain , PRON VERB DET ADJ NOUN
i can take the top off , PRON VERB VERB DET NOUN PRT
you have_to pick the puzzle up first , PRON ADV VERB DET NOUN PRT ADV
i have a good black pen , PRON VERB DET ADJ ADJ NOUN
do not do that again adam , VERB ADV VERB PRON ADV NOUN
robin made that , NOUN VERB PRON
do not do that again , VERB ADV VERB PRON ADV
let us see adam , VERB PRON VERB NOUN
you do not know , PRON VERB ADV VERB
that is a fox , PRON VERB DET NOUN
peekaboo to you , ADV ADP PRON
look on your shirt , VERB ADP DET NOUN
you have_to do them one at a time , PRON ADV VERB PRON NUM ADP DET NOUN
careful with your pencil honey , ADJ ADP DET NOUN NOUN
not so good , ADV ADV ADJ
cranberry juice on your shirt , ADJ NOUN ADP DET NOUN
they will get ninety fish , PRON VERB VERB NUM NOUN
you are singing a banana song , PRON VERB VERB DET NOUN NOUN
pop goes the weasel , VERB VERB DET NOUN
that is a panda , PRON VERB DET NOUN
doctor dan at the circus , NOUN NOUN ADP DET NOUN
see if that fits in your tiny purse , VERB ADP DET NOUN ADP DET ADJ NOUN
that is not a bus , PRON VERB ADV DET NOUN
that is part of a train , PRON VERB NOUN ADP DET NOUN
if you want to , ADP PRON VERB PRT
that is his nose , PRON VERB DET NOUN
do not put the screwdriver on the rug like that , VERB ADV VERB DET NOUN ADP DET NOUN ADP DET
i have never seen a pony that looked like that , PRON VERB ADV VERB DET NOUN PRON VERB ADP DET
take it out , VERB PRON PRT
he has two boots on , PRON VERB NUM NOUN ADP
we asked and he said people , PRON VERB CONJ PRON VERB NOUN
that is a lion tamer , PRON VERB DET NOUN NOUN
the elephant named twinkles xxx anything goes , DET NOUN VERB NOUN NOUN NOUN VERB
his legs are strong , DET NOUN VERB ADJ
it is attached , PRON VERB VERB
i did not think he knew flowers he said roses , PRON VERB ADV VERB PRON VERB NOUN PRON VERB NOUN
i see your hammer , PRON VERB DET NOUN
you found it downtown , PRON VERB PRON VERB
not for digging , ADV ADP VERB
look on the back of bozo , VERB ADP DET NOUN ADP NOUN
you found a number , PRON VERB DET NOUN
except you have_to punch these holes a little , ADP PRON ADV VERB DET NOUN DET ADJ
you use a shovel for digging , PRON VERB DET NOUN ADP VERB
i will put it in the drawer , PRON VERB VERB PRON ADP DET NOUN
and he said flowers , CONJ PRON VERB NOUN
the lady of the elephant , DET NOUN ADP DET ADJ
careful with the record , ADJ ADP DET NOUN
the button dropped adam , DET NOUN VERB NOUN
she is down there , PRON VERB PRT PRT
she will be up in a little while , PRON VERB VERB PRT ADP DET ADJ ADP
i do not think that car is broken , PRON VERB ADV VERB DET NOUN VERB VERB
that is a good hat , PRON VERB DET ADJ NOUN
do not sit on mr cromer briefcase , VERB ADV VERB ADP NOUN NOUN NOUN
she did not go any place , PRON VERB ADV VERB DET NOUN
rock a bye baby in the treetop , VERB DET NOUN NOUN ADP DET NOUN
i do not want a piece , PRON VERB ADV VERB DET NOUN
that is the doggie , PRON VERB DET NOUN
i do not know , PRON VERB ADV VERB
she is doing something , PRON VERB VERB NOUN
now the tricycle is fixed , ADV DET NOUN VERB VERB
celia from north carolina , NOUN ADP ADJ NOUN
do not run it over her again , VERB ADV VERB PRON ADP PRON ADV
i do not know , PRON VERB ADV VERB
i think he is trying to say they are married to each_other , PRON VERB PRON VERB VERB PRT VERB PRON VERB VERB PRT VERB
do not stand on the chair , VERB ADV VERB ADP DET NOUN
i said hello , PRON VERB PRT
i do not know , PRON VERB ADV VERB
you will break if it you stand on it that way , PRON VERB VERB ADP PRON PRON VERB ADP PRON ADP NOUN
fixing the shoe , VERB DET NOUN
he is a little boy , PRON VERB DET ADJ NOUN
because you will break it , ADP PRON VERB VERB PRON
this is a radiator , DET VERB DET NOUN
here is a mirror , ADV VERB DET NOUN
missouri such a long ways away , NOUN PRT DET ADJ NOUN ADV
that is not , PRON VERB ADV
push with your feet , VERB ADP DET NOUN
on your face , ADP DET NOUN
is the king and the lady is the queen , VERB DET NOUN CONJ DET NOUN VERB DET NOUN
they are all falling down , PRON VERB PRT VERB PRT
this is a radiator , DET VERB DET NOUN
ursula may need that at her work , NOUN VERB VERB ADP ADP DET NOUN
he is correcting your pronunciation , PRON VERB VERB DET NOUN
you can give yourself a ride , PRON VERB VERB PRON DET NOUN
see the bird gets away , VERB DET NOUN VERB ADV
so you mean elevator , ADP PRON VERB NOUN
you are talking about shadow_gay all the time , PRON VERB VERB ADP NOUN PRT DET NOUN
a little dog , DET ADJ NOUN
show me another one , VERB PRON DET NUM
look in here , VERB ADP ADV
it is very funny , PRON VERB ADV ADJ
you open it , PRON VERB PRON
i tickle you , PRON VERB PRON
your tricycle is there , DET NOUN VERB PRT
this is a radiator , DET VERB DET NOUN
it must be almost time , PRON VERB VERB ADV NOUN
close the box and close the drawer , ADV DET NOUN CONJ VERB DET NOUN
do not be so rough little boy , VERB ADV VERB ADV ADJ ADJ NOUN
you did not look all the way down , PRON VERB ADV VERB PRT DET NOUN PRT
i do not think there is one here , PRON VERB ADV VERB PRT VERB NUM ADV
you are missing , PRON VERB VERB
adam here are some peanuts , NOUN ADV VERB DET NOUN
she does not have anything to show you in that bag , PRON VERB ADV VERB NOUN PRT VERB PRON ADP DET NOUN
you turn the knob , PRON VERB DET NOUN
just like adam , ADV ADP NOUN
do not get on the chair , VERB ADV VERB ADP DET NOUN
he has two green eyes , PRON VERB NUM ADJ NOUN
you will break it , PRON VERB VERB PRON
here they are , ADV PRON VERB
there is some , PRT VERB DET
just like adam , ADV ADP NOUN
you have_to pull your wagon back , PRON ADV VERB DET NOUN ADV
turn the knob , VERB DET NOUN
do not step on them you may tear them , VERB ADV VERB ADP PRON PRON VERB VERB PRON
you have_to take the shell off , PRON ADV VERB DET NOUN PRT
there are more pictures , PRT VERB ADJ NOUN
just like that one , ADV ADP DET NUM
you did not hit your nose you hit your mouth , PRON VERB ADV VERB DET NOUN PRON VERB DET NOUN
just like mommy , ADV ADP NOUN
adam that is very sticky , NOUN PRON VERB ADV ADJ
squeaking not squealing , VERB ADV VERB
you are going to cut it , PRON VERB VERB PRT VERB PRON
the drawer i guess , DET NOUN PRON VERB
do not know , VERB ADV VERB
you sit on the chair and i will rock you , PRON VERB ADP DET NOUN CONJ PRON VERB NOUN PRON
just like ursula cromer , ADV ADP NOUN NOUN
it is a nut a peanut , PRON VERB DET NOUN DET NOUN
i do not know , PRON VERB ADV VERB
i do not think she likes that little dirty tape there , PRON VERB ADV VERB PRON VERB DET ADJ ADJ NOUN PRT
this is a g , DET VERB DET NOUN
cat and the mouse , NOUN CONJ DET NOUN
here it is , ADV PRON VERB
that is a very special one , PRON VERB DET ADV ADJ NUM
she is a lady , PRON VERB DET NOUN
adam does not have cowboy boots like that , NOUN VERB ADV VERB NOUN NOUN ADP DET
it may have broken off from this one , PRON VERB VERB VERB PRT ADP DET NUM
adam write on one side of the paper only , NOUN VERB ADP NUM NOUN ADP DET NOUN ADV
that is the elephant trunk , PRON VERB DET ADJ NOUN
messed it all up , VERB PRON PRT PRT
adam smith we will have put them up , NOUN NOUN PRON VERB VERB VERB PRON PRT
they are in your box there , PRON VERB ADP DET NOUN PRT
you have_to chew it hard , PRON ADV VERB PRON ADJ
put them in and close the drawer , VERB PRON ADP CONJ VERB DET NOUN
i think he said here we go , PRON VERB PRON VERB ADV PRON VERB
you pick them up and give them to me , PRON VERB PRON PRT CONJ VERB PRON ADP PRON
i do not know , PRON VERB ADV VERB
let me put it in here adam , VERB PRON VERB PRON ADP ADV NOUN
i can not rock in this , PRON VERB ADV NOUN ADP DET
close the zipper , ADV DET NOUN
pick up the paper behind you adam , VERB PRT DET NOUN ADP PRON NOUN
i do not know , PRON VERB ADV VERB
if you sit in that chair , ADP PRON VERB ADP DET NOUN
put the other box down , VERB DET ADJ NOUN PRT
he is sleeping , PRON VERB VERB
that is not for boys , PRON VERB ADV ADP NOUN
i do not think the f can get in there , PRON VERB ADV VERB DET NOUN VERB VERB ADP PRT
they are working , PRON VERB VERB
yeah they all fall down , ADV PRON PRT VERB PRT
you threw them away , PRON VERB PRON ADV
i xxx put it in , PRON VERB VERB PRON ADP
you will have_to take it off , PRON VERB NOUN VERB PRON PRT
it is lipstick , PRON VERB NOUN
put that down , VERB ADP PRT
i been chug , PRON VERB NOUN
i have been chugging i guess , PRON VERB VERB VERB PRON VERB
now go look in the mirror , ADV VERB VERB ADP DET NOUN
i am not looking for anything , PRON VERB ADV VERB ADP NOUN
you have_to put them on envelopes to mail them , PRON ADV VERB PRON ADP NOUN ADP NOUN PRON
give me the jug , VERB PRON DET NOUN
you one envelope on the floor by ursula foot , PRON NUM NOUN ADP DET NOUN ADP NOUN NOUN
now say the magic words , ADV VERB DET ADJ NOUN
that is riverside church in new york , PRON VERB NOUN NOUN ADP ADJ NOUN
do not go in her bag , VERB ADV VERB ADP DET NOUN
i tie it , PRON VERB PRON
you do not have_to eat them , PRON VERB ADV ADV VERB PRON
and you rang the bell , CONJ PRON VERB DET NOUN
i think she has everything out to show you , PRON VERB PRON VERB NOUN PRT PRT VERB PRON
go out and get a paper towel , VERB PRT CONJ VERB DET NOUN NOUN
you could just shell them , PRON VERB ADV VERB PRON
i tie it up , PRON VERB PRON PRT
that is all , PRON VERB PRT
that is good , PRON VERB ADJ
take the pillow out_of the wagon , VERB DET NOUN ADP DET NOUN
adam you dropped one over here dear , NOUN PRON VERB NUM ADP ADV ADJ
say the magic words , VERB DET ADJ NOUN
you ask ursula , PRON VERB NOUN
you write with those pencils , PRON VERB ADP DET NOUN
it is a round disk , PRON VERB DET ADJ NOUN
turn it over and say abra_cadabra , VERB PRON PRT CONJ VERB NOUN
i had like a can opener , PRON VERB ADP DET VERB NOUN
that is a church , PRON VERB DET NOUN
here is one , ADV VERB NUM
perhaps to get the hay in before it rains , ADV PRT VERB DET NOUN ADP ADP PRON VERB
i can not get the knot out_of this balloon , PRON VERB ADV VERB DET NOUN ADP DET NOUN
and some jello , CONJ DET NOUN
open it up , VERB PRON PRT
i guess from the open window out there in the hall , PRON VERB ADP DET ADJ NOUN PRT ADV ADP DET NOUN
you beep beep adam , PRON VERB ADJ NOUN
i do not know , PRON VERB ADV VERB
you have some , PRON VERB DET
this is blue , DET VERB ADJ
you ask ursula , PRON VERB NOUN
if you think you can , ADP PRON VERB PRON VERB
that is her bag , PRON VERB DET NOUN
you better put those back up on the desk , PRON ADV VERB DET NOUN PRT ADP DET NOUN
i guess it is a daisy , PRON VERB PRON VERB DET ADJ
he has_to write with that , PRON ADV VERB ADP DET
there is your pen , PRT VERB DET NOUN
that is not red , PRON VERB ADV ADJ
that is yellow , PRON VERB ADJ
do not put them in anyone face , VERB ADV VERB PRON ADP NOUN NOUN
you have got paper over here , PRON VERB VERB NOUN PRT ADV
those are daddy glasses , DET VERB NOUN NOUN
i do not need one , PRON VERB ADV VERB NUM
if you are careful you may have some water , ADP PRON VERB ADJ PRON VERB VERB DET NOUN
this is black , DET VERB ADJ
it is on the floor over near the firetruck , PRON VERB ADP DET NOUN ADP ADP DET NOUN
you kept moving , PRON VERB VERB
that is ursula , PRON VERB NOUN
that is blue , PRON VERB ADJ
i only tied one shoe , PRON ADV VERB NUM NOUN
you may break it dear , PRON VERB VERB PRON VERB
i do not see a seal , PRON VERB ADV VERB DET NOUN
i see a church , PRON VERB DET NOUN
there is your pencil , PRT VERB DET NOUN
you have_to be careful , PRON ADV VERB ADJ
here is another one , ADV VERB DET NUM
leave him on there so he can drive it , VERB PRON ADP PRT ADP PRON VERB VERB PRON
you dropped a g , PRON VERB DET NOUN
come and look at my pencil , VERB CONJ VERB ADP DET NOUN
he did not , PRON VERB ADV
i have got something interesting on mine , PRON VERB VERB NOUN VERB ADP PRON
he scratched himself , PRON VERB PRON
i am watching , PRON VERB VERB
i need some peach jam , PRON VERB DET NOUN NOUN
you fell down on something , PRON VERB PRT ADP NOUN
you are welcome , PRON VERB ADJ
adam use them only on the pad , NOUN VERB PRON ADV ADP DET NOUN
you take it off , PRON VERB PRON PRT
take it out_of your mouth and just pretend , VERB PRON ADP DET NOUN CONJ ADV VERB
you made a queen , PRON VERB DET NOUN
she can not write with the glove on , PRON VERB ADV VERB ADP DET NOUN ADP
it is more fun if you do it , PRON VERB ADJ NOUN ADP PRON VERB PRON
i do not know , PRON VERB ADV VERB
you can put them on your hand , PRON VERB VERB PRON ADP DET NOUN
she has not finished with that page , PRON VERB ADV VERB ADP DET NOUN
up on your shelf , PRT ADP DET PRON
do not ride with that cord , VERB ADV VERB ADP DET NOUN
that is not bozo , PRON VERB ADV NOUN
and two gallons of milk , CONJ NUM NOUN ADP NOUN
frighten me for , VERB PRON ADP
it is a feather , PRON VERB DET NOUN
that is part of the tape recorder , PRON VERB NOUN ADP DET NOUN NOUN
you are not too big , PRON VERB ADV ADV ADJ
you keep that , PRON VERB PRON
i think that is all i need today thank_you , PRON VERB PRON VERB PRT PRON VERB NOUN PRON
you do not sit on mr cromer briefcase , PRON VERB ADV VERB ADP NOUN NOUN NOUN
you are making two bowls of tomato soup , PRON VERB VERB NUM NOUN ADP NOUN NOUN
you dropped them on the cowboy knee , PRON VERB PRON ADP DET NOUN NOUN
you put them on your hand , PRON VERB PRON ADP DET NOUN
nobody simply asked you to put doughnuts the library , NOUN ADV VERB PRON PRT VERB VERB DET NOUN
some twine for clothes line , DET NOUN ADP NOUN NOUN
i am sorry , PRON VERB ADJ
because it would hurt paul , ADP PRON VERB VERB NOUN
you left it out on the table , PRON VERB PRON PRT ADP DET NOUN
some bibs for paul , DET NOUN ADP NOUN
yogi riding in the car , NOUN VERB ADP DET NOUN
you put it on , PRON VERB PRON ADP
good morning friend , ADJ NOUN NOUN
let us put the puzzle together , VERB PRON VERB DET NOUN ADV
some shoe polish for adam , DET NOUN VERB ADP NOUN
because he is one of your toys , ADP PRON VERB NUM ADP DET NOUN
that is a fastener , PRON VERB DET NOUN
i do not know , PRON VERB ADV VERB
you do not know , PRON VERB ADV VERB
that is for you , PRON VERB ADP PRON
do not sit on mr cromer briefcase , VERB ADV VERB ADP NOUN NOUN NOUN
we made one , PRON VERB NUM
some hooks for my curtain rod , DET NOUN ADP DET NOUN NOUN
you may break it , PRON VERB VERB PRON
i do not think paul can have any money , PRON VERB ADV VERB NOUN VERB VERB DET NOUN
i think that is about all i need , PRON VERB PRON VERB ADV PRT PRON VERB
a tall giraffe , DET ADJ NOUN
i do not know , PRON VERB ADV VERB
and the record player is in the kitchen , CONJ DET NOUN NOUN VERB ADP DET NOUN
he does not have fingers , PRON VERB ADV VERB NOUN
they would not need a big fire truck for that , PRON VERB ADV VERB DET ADJ NOUN NOUN ADP DET
those are two other bears , DET VERB NUM ADJ NOUN
see you have a bag over there , VERB PRON VERB DET NOUN ADP PRT
that is not a story+book , PRON VERB ADV DET NOUN
playing the piano , VERB DET NOUN
it is a book with numbers , PRON VERB DET NOUN ADP NOUN
these do not say quack , DET VERB ADV VERB NOUN
that is a disk , PRON VERB DET NOUN
you would have_to give him your wagon , PRON VERB NOUN VERB PRON DET NOUN
not down your neck , ADV ADP DET NOUN
from a game , ADP DET NOUN
that is a boy with a horse , PRON VERB DET NOUN ADP DET NOUN
he has hot cereal , PRON VERB ADJ NOUN
that is nice adam , PRON VERB ADJ NOUN
a disk from a game , DET NOUN ADP DET NOUN
you open them the same way you open peas , PRON VERB PRON DET ADJ NOUN PRON ADJ NOUN
they do look like stars , PRON VERB VERB ADP NOUN
i do not think i need anything else thank_you , PRON VERB ADV VERB PRON VERB NOUN ADV PRON
celia wears sneakers , NOUN NOUN NOUN
from a game , ADP DET NOUN
you do not have anything to pour it in , PRON VERB ADV VERB NOUN PRT VERB PRON ADP
i do not think i have guns , PRON VERB ADV VERB PRON VERB NOUN
that is over at the high school , PRON VERB PRT ADP DET ADJ NOUN
it is a boy in armor , PRON VERB DET NOUN ADP NOUN
part of a game , NOUN ADP DET NOUN
he does not have fingers either , PRON VERB ADV VERB NOUN CONJ
you write on paper adam , PRON VERB ADP NOUN NOUN
i think it is out in the kitchen , PRON VERB PRON VERB PRT ADP DET NOUN
that is probably david game , PRON VERB ADV ADJ NOUN
he does not have fingers , PRON VERB ADV VERB NOUN
i can not see , PRON VERB ADV VERB
do not throw it , VERB ADV VERB PRON
maybe the sunrise , ADV DET NOUN
you put all that paper in the trash can for mommy , PRON VERB PRT ADP NOUN ADP DET NOUN VERB ADP NOUN
it is at his house so he can play with it , PRON VERB ADP DET NOUN ADP PRON VERB VERB ADP PRON
you will hurt mr cromer head , PRON VERB VERB NOUN NOUN NOUN
you blow it , PRON VERB PRON
a house can not dance , DET NOUN VERB ADV NOUN
you will hurt ursula too , PRON VERB VERB NOUN ADV
you can blow , PRON VERB NOUN
david is ursula little boy , NOUN VERB NOUN ADJ NOUN
it goes there , PRON VERB PRT
i could give you some paper , PRON VERB VERB PRON DET NOUN
you will hurt the suitcase too , PRON VERB VERB DET NOUN ADV
he said with those horse , PRON VERB ADP DET NOUN
you fell down , PRON VERB PRT
do not frighten you , VERB ADV VERB PRON
here stand on the cart , ADV VERB ADP DET NOUN
i am not going to frighten you adam , PRON VERB ADV VERB PRT VERB PRON NOUN
you hit the floor , PRON VERB DET NOUN
it is a new word from one of his books , PRON VERB DET ADJ NOUN ADP NUM ADP DET NOUN
the one you were singing at the table , DET NUM PRON VERB VERB ADP DET NOUN
now you may put it in , ADV PRON VERB VERB PRON ADP
you have_to boil them on the stove , PRON ADV VERB PRON ADP DET NOUN
you do it , PRON VERB PRON
adam did not write that , NOUN VERB ADV VERB PRON
he is probably too little to play football , PRON VERB ADV ADV ADJ PRT VERB NOUN
mr walter did , NOUN NOUN VERB
the bunny xxx hop and the bunny at play , DET ADJ NOUN NOUN CONJ DET NOUN ADP NOUN
you woke up at fourteen o'clock , PRON VERB PRT ADP NUM ADV
a pail of good fresh milk skedaddle , DET NOUN ADP ADJ ADJ NOUN NOUN
i had like to be a bunny today , PRON VERB ADP PRT VERB DET ADJ NOUN
on your side , ADP DET NOUN
that is a horse , PRON VERB DET NOUN
come take ursula gloves off , VERB VERB NOUN VERB PRT
it was raining , PRON VERB VERB
you blow it , PRON VERB PRON
that is very nice , PRON VERB ADV ADJ
i need a vitamin too , PRON VERB DET NOUN ADV
you tell me , PRON VERB PRON
you got them , PRON VERB PRON
you hurt your arm on the chair , PRON VERB DET NOUN ADP DET NOUN
my clock only goes to twelve , DET NOUN ADV VERB ADP NUM
there are some on the floor adam , PRT VERB DET ADP DET NOUN NOUN
from the bag , ADP DET NOUN
adam dropped the pencil , NOUN VERB DET NOUN
show it to me , VERB PRON ADP PRON
pick the play toys up , VERB DET NOUN NOUN PRT
i like it , PRON VERB PRON
that is the tattooed man , PRON VERB DET ADJ NOUN
he does look like yogi , PRON VERB VERB ADP NOUN
that is a good boy , PRON VERB DET ADJ NOUN
i do not think i can , PRON VERB ADV VERB PRON VERB
maybe that is a baby walker , ADV PRON VERB DET NOUN NOUN
let me hold it and help you , VERB PRON VERB PRON CONJ VERB PRON
push it over near the table , VERB PRON PRT ADP DET NOUN
i did not bring mine today , PRON VERB ADV VERB ADJ NOUN
you do it , PRON VERB PRON
i did not need it today , PRON VERB ADV VERB PRON NOUN
push this one back and you choose another one , VERB DET NUM ADV CONJ PRON VERB DET NUM
do not take it apart , VERB ADV VERB PRON ADV
cromer has a watch , NOUN VERB DET NOUN
he is conducting , PRON VERB VERB
adam hurt himself , NOUN VERB PRON
adam you have another one out here , NOUN PRON VERB DET NOUN PRT ADV
one part is black and the other is silver , NUM NOUN VERB ADJ CONJ DET ADJ VERB NOUN
hold it at the top , VERB PRON ADP DET NOUN
it does not really open , PRON VERB ADV ADV ADJ
let ursula show you , VERB NOUN VERB PRON
the papers are yellow , DET NOUN VERB ADJ
a hatso a fatso , DET X X X
i do not know , PRON VERB ADV VERB
i do not think i need anything else thank_you , PRON VERB ADV VERB PRON VERB NOUN ADV PRON
he is in there , PRON VERB ADP PRT
i do not own one , PRON VERB ADV ADJ NUM
i think it can be turned , PRON VERB PRON VERB VERB VERB
you going to give back to ursula now , PRON VERB PRT VERB ADV ADP NOUN ADV
adam just look , NOUN ADV VERB
i already have mine , PRON ADV VERB PRON
this is j , DET VERB NOUN
those are daddy things , DET VERB NOUN NOUN
put it back in the briefcase , VERB PRON ADV ADP DET NOUN
do not take them out , VERB ADV VERB PRON PRT
i see a seal , PRON VERB DET NOUN
looks like a real tiny fish , VERB ADP DET ADJ ADJ NOUN
adam i am sure you did not say ride on a ship , NOUN PRON VERB ADJ PRON VERB ADV VERB VERB ADP DET NOUN
that is a circle , PRON VERB DET NOUN
you have_to take them out first , PRON ADV VERB PRON PRT ADV
the sunshine is laughing , DET NOUN VERB VERB
adam you have got dirty hands , NOUN PRON VERB VERB ADJ NOUN
that is a bird and a tree , PRON VERB DET NOUN CONJ DET NOUN
i think he said anything , PRON VERB PRON VERB NOUN
hold it now , VERB PRON ADV
he is sitting on the floor xxx standing on the floor , PRON VERB VERB ADP DET NOUN NOUN VERB ADP DET NOUN
it does not look like anything , PRON VERB ADV VERB ADP NOUN
i do not know , PRON VERB ADV VERB
i think it looks like something , PRON VERB PRON VERB ADP NOUN
thank_you for the coffee , PRON ADP DET NOUN
you mean boat ship , PRON VERB NOUN NOUN
that is his eyebrow , PRON VERB DET NOUN
that is not my hair+pin , PRON VERB ADV DET NOUN
adam has a nose , NOUN VERB DET NOUN
that is a radiator , PRON VERB DET NOUN
that is not a pin , PRON VERB ADV DET NOUN
that would hurt , PRON VERB VERB
i do not think he knows that , PRON VERB ADV VERB PRON VERB PRON
push this up , VERB DET PRT
look at it , VERB ADP PRON
there is another one in the kitchen , PRT VERB DET NUM ADP DET NOUN
put your finger on top of mine , VERB DET NOUN ADP NOUN ADP PRON
i do not know , PRON VERB ADV VERB
that would hurt , PRON VERB VERB
adam not funny , NOUN ADV ADJ
maybe she is afraid of doggies , ADV PRON VERB ADJ ADP NOUN
you call them overalls , PRON VERB PRON VERB
judy and buzz , NOUN CONJ NOUN
i do not think i have ever seen anything like that , PRON VERB ADV VERB PRON VERB ADV VERB NOUN ADP DET
that is a couple we know , PRON VERB DET NOUN PRON VERB
i do not know , PRON VERB ADV VERB
that is an orange seed , PRON VERB DET ADJ NOUN
i guess the owl has_to put them on himself , PRON VERB DET NOUN NOUN VERB PRON ADP PRON
i am just trying to get the string off , PRON VERB ADV VERB PRT VERB DET NOUN PRT
i do not know , PRON VERB ADV VERB
it is goldilocks , PRON VERB NOUN
i do not hurt myself thank_you , PRON VERB ADV VERB PRON PRON
it does not belong on here , PRON VERB ADV VERB ADP ADV
because they are , ADP PRON VERB
i do not know , PRON VERB ADV VERB
do not write on your arm , VERB ADV VERB ADP DET NOUN
write on the paper , VERB ADP DET NOUN
xxx perro is dirty , NOUN NOUN VERB ADJ
it does not belong on here , PRON VERB ADV VERB ADP ADV
let me want fork , VERB PRON VERB NOUN
that is a tail , PRON VERB DET NOUN
looks like a road , VERB ADP DET NOUN
he does not feel like exercising , PRON VERB ADV VERB ADP VERB
you are jabbering , PRON VERB VERB
that was a marvelous speech , PRON VERB DET ADJ NOUN
wake up adam , VERB PRT NOUN
they are made like trees , PRON VERB VERB ADP NOUN
you are going to stop talking , PRON VERB VERB PRT VERB VERB
