those are checkers , DET AUX NOUN
I have finished thank_you , PRON AUX VERB PRON
behind the kitchen door , ADP DET NOUN NOUN
I think the wheel will come off again , PRON VERB DET NOUN AUX VERB ADP ADV
one two three four five , NUM NUM NUM NUM NUM
that can not go in there , DET AUX PART VERB ADV ADV
you do not put nails in like that , PRON AUX PART VERB NOUN ADP ADP DET
maybe you can ask Ursula if he had anything , ADV PRON AUX VERB PROPN SCONJ PRON VERB PRON
one two three four five , NUM NUM NUM NUM NUM
Ursula can not change your diaper like that , PROPN AUX PART VERB PRON NOUN ADP DET
let me see , VERB PRON VERB
here is a little spot , ADV AUX DET ADJ NOUN
that is not a screw , DET AUX PART DET NOUN
looks as_if he had a spear in his hand , VERB PROPN PRON VERB DET NOUN ADP PRON NOUN
you knocked the seal over , PRON VERB DET NOUN ADP
you do it , PRON VERB PRON
with the bunny rabbit , ADP DET NOUN NOUN
it did not come from the dog Spot , PRON AUX PART VERB ADP DET NOUN NOUN
Adam I will go downstairs with you , PROPN PRON AUX VERB ADV ADP PRON
I will fix your clothes+line while you are gone , PRON AUX VERB PRON NOUN SCONJ PRON AUX VERB
I do not know if it was pillow or Perro , PRON AUX PART VERB SCONJ PRON AUX NOUN CCONJ PROPN
I do not think we have any , PRON AUX PART VERB PRON VERB DET
do not shoot Mr Cowboy , AUX PART VERB PROPN PROPN
you have_to pour the water out , PRON PROPN VERB DET NOUN ADP
she needs to write with the pencil , PRON VERB PART VERB ADP DET NOUN
you do not mean ball , PRON AUX PART VERB NOUN
just move Bobo out_of your way , ADV VERB PROPN PUNCT PRON NOUN
a big moving truck , DET ADJ VERB NOUN
that is a bat , DET AUX DET NOUN
it is a useful jar to put things in , PRON AUX DET ADJ NOUN PART VERB NOUN ADP
hold it up not hang it up , VERB PRON ADP PART VERB PRON ADP
you fell and broke your head , PRON VERB CCONJ VERB PRON NOUN
I do not know if you can , PRON AUX PART VERB SCONJ PRON AUX
Adam can you say sits in the boy chair , PROPN AUX PRON VERB VERB ADP DET NOUN NOUN
he is going to play basketball , PRON AUX VERB PART VERB NOUN
to make sure there is none , PART VERB ADJ PRON AUX NOUN
one two three four , NUM NUM NUM NUM
you read that story to me , PRON VERB DET NOUN ADP PRON
I thought you said you knew , PRON VERB PRON VERB PRON VERB
can you say goes to school Cromer , AUX PRON VERB VERB ADP NOUN NOUN
careful do not spill it , ADJ AUX PART VERB PRON
the paint came off in your mouth , DET NOUN VERB ADP ADP PRON NOUN
that is a can opener , DET AUX DET AUX NOUN
you tell me , PRON VERB PRON
do not spill the water on the rug , AUX PART VERB DET NOUN ADP DET NOUN
it is a saucer , PRON AUX DET NOUN
can you say climb the you big ladder , AUX PRON VERB VERB DET PRON ADJ NOUN
you saw the pictures , PRON VERB DET NOUN
you do not play with it , PRON AUX PART VERB ADP PRON
two are broken , NUM AUX VERB
I call it a saucer , PRON VERB PRON DET NOUN
like a boy , ADP DET NOUN
bring your scissors over to the table , VERB PRON NOUN ADP ADP DET NOUN
can you say wears two shirts Adam , AUX PRON VERB VERB NUM NOUN PROPN
it is sharp , PRON AUX ADJ
put it in your mouth , VERB PRON ADP PRON NOUN
can you say drives the man busy bulldozer , AUX PRON VERB VERB DET NOUN ADJ NOUN
like a knife , ADP DET NOUN
wait you come around here honey , VERB PRON VERB ADV ADV NOUN
I think it goes in there , PRON VERB PRON VERB ADV ADV
I need a clothes+pin , PRON VERB DET NOUN
Rin_tin_tin is a doggie and he can not write , NOUN AUX DET NOUN CCONJ PRON AUX PART VERB
this is yours , DET AUX PRON
you fell down with your shoes , PRON VERB ADP ADP PRON NOUN
those toys are not made to stand on only to play with , DET NOUN AUX PART VERB PART VERB ADP ADV PART VERB ADP
do not put that in your mouth , AUX PART VERB DET ADP PRON NOUN
or a donkey , CCONJ DET NOUN
I do not need any more Adam , PRON AUX PART VERB DET ADJ PROPN
I think that is for tea or coffee or water , PRON VERB DET AUX ADP NOUN CCONJ NOUN CCONJ NOUN
can you say drives the busy bulldozer man , AUX PRON VERB VERB DET ADJ NOUN NOUN
those are the wise men , DET AUX DET ADJ NOUN
I put it in my pocket , PRON VERB PRON ADP PRON NOUN
her is is , PRON AUX VERB
that is a kangaroo , DET AUX DET NOUN
eat you cookie , VERB PRON VERB
part of the train , NOUN ADP DET NOUN
that is a smart doggie , DET AUX DET ADJ NOUN
he does not want any water I do not think , PRON AUX PART VERB DET NOUN PRON AUX PART VERB
that is not a leaf that is a feather , DET AUX PART DET NOUN DET VERB DET NOUN
take the game and explain it to Ursula , VERB DET NOUN CCONJ VERB PRON ADP PROPN
you must leave it there till it is dry , PRON AUX VERB PRON ADV SCONJ PRON VERB ADJ
I had like one thank_you , PRON VERB INTJ NUM PRON
that coffee tastes good , DET NOUN VERB ADJ
ask her if she had like some , VERB PRON SCONJ PRON VERB INTJ DET
it was very good , PRON AUX ADV ADJ
I think this is a car and that must be a policeman , PRON VERB DET AUX DET NOUN CCONJ DET AUX VERB DET NOUN
that is enough , DET AUX ADJ
they will cut you and hurt , PRON AUX VERB PRON CCONJ VERB
do not break the point Adam , AUX PART VERB DET NOUN PROPN
something that is cold , PRON DET VERB ADJ
now you are getting it , ADV PRON AUX VERB PRON
ask me if I had like some , VERB PRON SCONJ PRON VERB INTJ DET
just leave that there , ADV VERB SCONJ PRON
they are too large , PRON AUX ADV ADJ
Adam can you say find the little truck I , PROPN AUX PRON VERB VERB DET ADJ NOUN PRON
I do not know , PRON AUX PART VERB
there is one on the floor , PRON AUX NUM ADP DET NOUN
I am going to get some big moving van , PRON AUX VERB PART VERB DET ADJ VERB NOUN
ask Mr Cromer if he had like some water , VERB PROPN PROPN SCONJ PRON VERB INTJ DET NOUN
that is a hole , DET AUX DET NOUN
and that is a train , CCONJ DET AUX DET NOUN
here is a leopard , ADV AUX DET NOUN
you made it , PRON VERB PRON
because that is Robin , SCONJ DET AUX PROPN
the suitcase wants water , DET NOUN VERB NOUN
look at this , VERB ADP DET
there is not a fire engine there , PRON AUX PART DET NOUN NOUN ADV
do not fell down , AUX PART VERB ADP
that is a reindeer , DET AUX DET NOUN
there is just a fireman on a ladder , PRON AUX ADV DET NOUN ADP DET NOUN
that is not your tummy , DET AUX PART PRON NOUN
write on your paper , VERB ADP PRON NOUN
I do not think you need a rifle , PRON AUX PART VERB PRON VERB DET NOUN
I do not want to eat his head , PRON AUX PART VERB PART VERB PRON NOUN
you are not Ursula , PRON AUX PART ADJ
he may be going to help fight fire , PRON AUX AUX VERB PART VERB VERB NOUN
it has knots in it so it is hard to blow it , PRON VERB NOUN ADP PRON SCONJ PRON VERB ADJ PART VERB PRON
that is nice , DET AUX ADJ
you tell me , PRON VERB PRON
I think you had more than two cookies , PRON VERB PRON VERB ADJ SCONJ NUM NOUN
I do not think that writes , PRON AUX PART VERB DET VERB
I do not remember a song like that , PRON AUX PART VERB DET NOUN ADP DET
that is band around his head , DET AUX ADJ ADP PRON NOUN
I will try , PRON AUX VERB
just like mine , ADV ADP PRON
get off the table honey , VERB ADP DET NOUN NOUN
do not see it , AUX PART VERB PRON
here is one , ADV AUX NUM
the table may fall , DET NOUN AUX VERB
the little golden a b c you read it to me , DET ADJ ADJ DET NOUN NOUN PRON VERB PRON ADP PRON
I never heard of a yyy , PRON ADV VERB ADP DET NOUN
Cromer is not doing a thing , NOUN AUX PART VERB DET NOUN
you knocked it off , PRON VERB PRON ADP
the other one is broken , DET ADJ NOUN AUX VERB
ask him if he will , VERB PRON SCONJ PRON AUX
big boys do not bother things like that , ADJ NOUN AUX PART VERB NOUN ADP DET
that is a lion , DET AUX DET NOUN
that is a big camera , DET AUX DET ADJ NOUN
over in the fish house , ADV ADP DET NOUN NOUN
she can not blow it , PRON AUX PART VERB PRON
Daddy went to school , NOUN VERB ADP NOUN
I do not know , PRON AUX PART VERB
you are standing on your truck , PRON AUX VERB ADP PRON NOUN
pick your cowboy book up , VERB PRON NOUN NOUN ADP
the record in the folder , DET NOUN ADP DET NOUN
that fell out , DET VERB ADP
that is Ursula , DET AUX PROPN
you will break it , PRON AUX VERB PRON
you like cereal , PRON VERB NOUN
blow it sideways , VERB PRON ADV
do not take that paper off the film , AUX PART VERB DET NOUN ADP DET NOUN
careful with the pencil honey , ADJ ADP DET NOUN NOUN
the pin is broken , DET NOUN AUX VERB
little fish house , ADJ NOUN NOUN
he did not get that at the park , PRON AUX PART VERB DET ADP DET NOUN
I will have_to get a better pin , PRON AUX PROPN VERB DET ADJ NOUN
I can not ride in your wagon , PRON AUX PART VERB ADP PRON NOUN
it might hurt , PRON AUX VERB
let Adam tear it , VERB PROPN VERB PRON
that is not a fire truck , DET AUX PART DET NOUN NOUN
those are her feet , DET AUX PRON NOUN
that one fell out , DET NUM VERB ADP
the record is in the folder , DET NOUN AUX ADP DET NOUN
go play the game with Ursula , VERB VERB DET NOUN ADP PROPN
blow it on the side , VERB PRON ADP DET NOUN
now pick the things up , ADV VERB DET NOUN ADP
because Bobo crying , SCONJ PROPN VERB
I think perhaps you had better give it back to Ursula , PRON VERB ADV PRON AUX ADV VERB PRON ADV ADP PROPN
do not throw Adam , AUX PART VERB PROPN
blow into here , VERB ADP ADV
there it goes , ADV PRON VERB
we are Jesus , PRON AUX PROPN
he does not like raisin bran , PRON AUX PART VERB NOUN NOUN
wait I need that , VERB PRON VERB DET
I do not think so , PRON AUX PART VERB ADV
Peter Piper picked , PROPN PROPN VERB
that is a hippopotamus , DET AUX DET NOUN
laughing about Cromer , VERB ADP NOUN
I am not going anyplace , PRON AUX PART VERB NOUN
that is a porcupine , DET AUX DET NOUN
they do not need teeth , PRON AUX PART VERB NOUN
it is red , PRON AUX ADJ
you should have told Mommy you had to go upstairs , PRON AUX AUX VERB PROPN PRON VERB PART VERB ADV
that is a butterfly , DET AUX DET NOUN
they do not talk like we talk , PRON AUX PART VERB ADP PRON VERB
I think they talk to each_other , PRON VERB PRON VERB ADP ADV
there is a grey crayon , PRON AUX DET ADJ NOUN
he did not want you to take a nap , PRON AUX PART VERB PRON PART VERB DET NOUN
Adam do not kick anybody , PROPN AUX PART VERB PRON
he dropped his pencil , PRON VERB PRON NOUN
it is a birthday cake , PRON AUX DET NOUN NOUN
that is a c , DET AUX DET NOUN
you are dripping , PRON AUX ADJ
do not scratch the record , AUX PART VERB DET NOUN
it sounded like freight , PRON VERB ADP NOUN
you are supposed to drink it honey , PRON AUX VERB PART VERB PRON NOUN
this is not tape , DET AUX PART NOUN
she did not get hurt , PRON AUX PART AUX VERB
do not take them out Adam , AUX PART VERB PRON ADP PROPN
you do not eat it with a spoon , PRON AUX PART VERB PRON ADP DET NOUN
put the toys in the basket , VERB DET NOUN ADP DET NOUN
Adam be careful with the pencil , PROPN VERB ADJ ADP DET NOUN
do not run it on him , AUX PART VERB PRON ADP PRON
people take wood and put it together and make a chair , NOUN VERB NOUN CCONJ VERB PRON ADV CCONJ VERB DET NOUN
you open it , PRON VERB PRON
you have two , PRON VERB NUM
he is too tiny , PRON AUX ADV ADJ
that is a monkey , DET AUX DET NOUN
put it on the floor , VERB PRON ADP DET NOUN
because little boys do not smoke cigarettes , SCONJ ADJ NOUN AUX PART VERB NOUN
ask him if he can , VERB PRON SCONJ PRON AUX
you need a saw , PRON VERB DET NOUN
Ursula has boots on , PROPN VERB NOUN ADP
you are not supposed to throw anything in the air , PRON AUX PART VERB PART VERB PRON ADP DET NOUN
Adam pick the pencil up and put it on the table , PROPN VERB DET NOUN ADP CCONJ VERB PRON ADP DET NOUN
that is some turquoise , DET AUX DET ADJ
I think that says meow , PRON VERB DET VERB NOUN
I think you have had enough , PRON VERB PRON AUX VERB ADJ
you need carpenter tools , PRON VERB NOUN NOUN
that is a key chain , DET AUX DET ADJ NOUN
I can take the top off , PRON AUX VERB DET NOUN ADP
you have_to pick the puzzle up first , PRON PROPN VERB DET NOUN ADP ADV
I have a good black pen , PRON VERB DET ADJ ADJ NOUN
do not do that again Adam , AUX PART VERB DET ADV PROPN
Robin made that , PROPN VERB DET
do not do that again , AUX PART VERB DET ADV
let us see Adam , VERB PRON VERB PROPN
you do not know , PRON AUX PART VERB
that is a fox , DET AUX DET NOUN
peekaboo to you , NOUN ADP PRON
look on your shirt , VERB ADP PRON NOUN
you have_to do them one at a time , PRON NOUN VERB PRON NUM ADP DET NOUN
careful with your pencil honey , ADJ ADP PRON NOUN NOUN
not so good , PART ADV ADJ
cranberry juice on your shirt , ADJ NOUN ADP PRON NOUN
they will get ninety fish , PRON AUX VERB NUM NOUN
you are singing a banana song , PRON AUX VERB DET NOUN NOUN
pop goes the weasel , NOUN VERB DET NOUN
that is a panda , DET AUX DET NOUN
Doctor Dan at the circus , PROPN PROPN ADP DET NOUN
see if that fits in your tiny purse , VERB SCONJ DET VERB ADP PRON ADJ NOUN
that is not a bus , DET AUX PART DET NOUN
that is part of a train , DET AUX NOUN ADP DET NOUN
if you want to , SCONJ PRON VERB PART
that is his nose , DET AUX PRON NOUN
do not put the screwdriver on the rug like that , AUX PART VERB DET NOUN ADP DET NOUN ADP DET
I have never seen a pony that looked like that , PRON AUX ADV VERB DET NOUN DET VERB ADP DET
take it out , VERB PRON ADP
he has two boots on , PRON VERB NUM NOUN ADP
we asked and he said people , PRON VERB CCONJ PRON VERB NOUN
that is a lion tamer , DET AUX DET NOUN VERB
the elephant named Twinkles xxx anything goes , DET NOUN VERB PROPN PROPN PRON VERB
his legs are strong , PRON NOUN AUX ADJ
it is attached , PRON AUX VERB
I did not think he knew flowers he said roses , PRON AUX PART VERB PRON VERB NOUN PRON VERB NOUN
I see your hammer , PRON VERB PRON NOUN
you found it downtown , PRON VERB PRON NOUN
not for digging , PART ADP VERB
look on the back of Bozo , VERB ADP DET NOUN ADP PROPN
you found a number , PRON VERB DET NOUN
except you have_to punch these holes a little , SCONJ PRON PROPN VERB DET NOUN DET ADJ
you use a shovel for digging , PRON VERB DET NOUN ADP VERB
I will put it in the drawer , PRON AUX VERB PRON ADP DET NOUN
and he said flowers , CCONJ PRON VERB NOUN
the lady of the elephant , DET NOUN ADP DET NOUN
careful with the record , ADJ ADP DET NOUN
the button dropped Adam , DET NOUN VERB PROPN
she is down there , PRON AUX ADV ADV
she will be up in a little while , PRON AUX VERB ADP ADP DET ADJ NOUN
I do not think that car is broken , PRON AUX PART VERB DET NOUN AUX VERB
that is a good hat , DET AUX DET ADJ NOUN
do not sit on Mr Cromer briefcase , AUX PART VERB ADP PROPN PROPN NOUN
she did not go any place , PRON AUX PART VERB DET NOUN
rock a bye baby in the treetop , VERB DET NOUN NOUN ADP DET NOUN
I do not want a piece , PRON AUX PART VERB DET NOUN
that is the doggie , DET AUX DET NOUN
I do not know , PRON AUX PART VERB
she is doing something , PRON AUX VERB PRON
now the tricycle is fixed , ADV DET NOUN AUX VERB
Celia from North Carolina , PROPN ADP PROPN PROPN
do not run it over her again , AUX PART VERB PRON ADP PRON ADV
I do not know , PRON AUX PART VERB
I think he is trying to say they are married to each_other , PRON VERB PRON AUX VERB PART VERB PRON AUX ADJ ADP ADV
do not stand on the chair , AUX PART VERB ADP DET NOUN
I said hello , PRON VERB INTJ
I do not know , PRON AUX PART VERB
you will break if it you stand on it that way , PRON AUX VERB SCONJ PRON PRON VERB ADP PRON DET NOUN
fixing the shoe , VERB DET NOUN
he is a little boy , PRON AUX DET ADJ NOUN
because you will break it , SCONJ PRON AUX VERB PRON
this is a radiator , DET AUX DET NOUN
here is a mirror , ADV AUX DET NOUN
Missouri such a long ways away , PROPN DET DET ADJ NOUN ADV
that is not , DET AUX PART
push with your feet , VERB ADP PRON NOUN
on your face , ADP PRON NOUN
is the king and the lady is the queen , AUX DET NOUN CCONJ DET NOUN VERB DET NOUN
they are all falling down , PRON AUX DET VERB ADP
this is a radiator , DET AUX DET NOUN
Ursula may need that at her work , PROPN AUX VERB DET ADP PRON NOUN
he is correcting your pronunciation , PRON AUX VERB PRON NOUN
you can give yourself a ride , PRON AUX VERB PRON DET NOUN
see the bird gets away , VERB DET NOUN VERB ADV
so you mean elevator , ADV PRON VERB NOUN
you are talking about Shadow_Gay all the time , PRON AUX VERB ADP PROPN DET DET NOUN
a little dog , DET ADJ NOUN
show me another one , VERB PRON DET NOUN
look in here , VERB ADP ADV
it is very funny , PRON AUX ADV ADJ
you open it , PRON VERB PRON
I tickle you , PRON VERB PRON
your tricycle is there , PRON NOUN AUX ADV
this is a radiator , DET AUX DET NOUN
it must be almost time , PRON AUX VERB ADV NOUN
close the box and close the drawer , VERB DET NOUN CCONJ VERB DET NOUN
do not be so rough little boy , AUX PART VERB ADV ADJ ADJ NOUN
you did not look all the way down , PRON AUX PART VERB DET DET NOUN ADV
I do not think there is one here , PRON AUX PART VERB PRON AUX NUM ADV
you are missing , PRON AUX VERB
Adam here are some peanuts , PROPN ADV AUX DET NOUN
she does not have anything to show you in that bag , PRON AUX PART VERB PRON PART VERB PRON ADP DET NOUN
you turn the knob , PRON VERB DET NOUN
just like Adam , ADV ADP PROPN
do not get on the chair , AUX PART VERB ADP DET NOUN
he has two green eyes , PRON VERB NUM ADJ NOUN
you will break it , PRON AUX VERB PRON
here they are , ADV PRON AUX
there is some , PRON AUX DET
just like Adam , ADV ADP PROPN
you have_to pull your wagon back , PRON PROPN VERB PRON NOUN ADV
turn the knob , VERB DET NOUN
do not step on them you may tear them , AUX PART VERB ADP PRON PRON AUX VERB PRON
you have_to take the shell off , PRON PROPN VERB DET NOUN ADP
there are more pictures , PRON AUX ADJ NOUN
just like that one , ADV ADP DET NOUN
you did not hit your nose you hit your mouth , PRON AUX PART VERB PRON NOUN PRON VERB PRON NOUN
just like Mommy , ADV ADP PROPN
Adam that is very sticky , PROPN DET VERB ADV ADJ
squeaking not squealing , VERB PART VERB
you are going to cut it , PRON AUX VERB PART VERB PRON
the drawer I guess , DET NOUN PRON VERB
do not know , AUX PART VERB
you sit on the chair and I will rock you , PRON VERB ADP DET NOUN CCONJ PRON AUX VERB PRON
just like Ursula Cromer , ADV ADP PROPN NOUN
it is a nut a peanut , PRON AUX DET NOUN DET NOUN
I do not know , PRON AUX PART VERB
I do not think she likes that little dirty tape there , PRON AUX PART VERB PRON VERB SCONJ ADJ ADJ NOUN ADV
this is a g , DET AUX DET NOUN
cat and the mouse , NOUN CCONJ DET NOUN
here it is , ADV PRON AUX
that is a very special one , DET AUX DET ADV ADJ NOUN
she is a lady , PRON AUX DET NOUN
Adam does not have cowboy boots like that , PROPN AUX PART VERB NOUN NOUN ADP DET
it may have broken off from this one , PRON AUX AUX VERB ADP ADP DET NOUN
Adam write on one side of the paper only , PROPN VERB ADP NUM NOUN ADP DET NOUN ADV
that is the elephant trunk , DET AUX DET NOUN NOUN
messed it all up , VERB PRON DET ADP
Adam Smith we will have put them up , PROPN PROPN PRON AUX AUX VERB PRON ADP
they are in your box there , PRON AUX ADP PRON NOUN ADV
you have_to chew it hard , PRON PROPN VERB PRON ADV
put them in and close the drawer , VERB PRON ADP CCONJ VERB DET NOUN
I think he said here we go , PRON VERB PRON VERB ADV PRON VERB
you pick them up and give them to me , PRON VERB PRON ADP CCONJ VERB PRON ADP PRON
I do not know , PRON AUX PART VERB
let me put it in here Adam , VERB PRON VERB PRON ADP ADV PROPN
I can not rock in this , PRON AUX PART VERB ADP DET
close the zipper , VERB DET NOUN
pick up the paper behind you Adam , VERB ADP DET NOUN ADP PRON PROPN
I do not know , PRON AUX PART VERB
if you sit in that chair , SCONJ PRON VERB ADP DET NOUN
put the other box down , VERB DET ADJ NOUN ADP
he is sleeping , PRON AUX VERB
that is not for boys , DET AUX PART ADP NOUN
I do not think the f can get in there , PRON AUX PART VERB DET X AUX VERB ADV ADV
they are working , PRON AUX VERB
yeah they all fall down , INTJ PRON DET VERB ADP
you threw them away , PRON VERB PRON ADV
I xxx put it in , PRON PRON VERB PRON ADP
you will have_to take it off , PRON AUX PROPN VERB PRON ADP
it is lipstick , PRON AUX NOUN
put that down , VERB DET ADP
I been chug , PRON AUX VERB
I have been chugging I guess , PRON AUX AUX VERB PRON VERB
now go look in the mirror , ADV VERB VERB ADP DET NOUN
I am not looking for anything , PRON AUX PART VERB ADP PRON
you have_to put them on envelopes to mail them , PRON PROPN VERB PRON ADP NOUN PART VERB PRON
give me the jug , VERB PRON DET NOUN
you one envelope on the floor by Ursula foot , PRON NUM NOUN ADP DET NOUN ADP PROPN NOUN
now say the magic words , ADV VERB DET ADJ NOUN
that is Riverside Church in New York , DET AUX PROPN PROPN ADP PROPN PROPN
do not go in her bag , AUX PART VERB ADP PRON NOUN
I tie it , PRON VERB PRON
you do not have_to eat them , PRON AUX PART PROPN VERB PRON
and you rang the bell , CCONJ PRON VERB DET NOUN
I think she has everything out to show you , PRON VERB PRON VERB PRON ADP PART VERB PRON
go out and get a paper towel , VERB ADP CCONJ VERB DET NOUN NOUN
you could just shell them , PRON AUX ADV VERB PRON
I tie it up , PRON VERB PRON ADP
that is all , DET AUX DET
that is good , DET AUX ADJ
take the pillow out_of the wagon , VERB DET NOUN PUNCT DET NOUN
Adam you dropped one over here dear , PROPN PRON VERB NUM ADP ADV NOUN
say the magic words , VERB DET ADJ NOUN
you ask Ursula , PRON VERB PROPN
you write with those pencils , PRON VERB ADP DET NOUN
it is a round disk , PRON AUX DET ADJ NOUN
turn it over and say abra_cadabra , VERB PRON ADP CCONJ VERB PROPN
I had like a can opener , PRON VERB INTJ DET AUX NOUN
that is a church , DET AUX DET NOUN
here is one , ADV AUX NUM
perhaps to get the hay in before it rains , ADV PART VERB DET NOUN ADV ADP PRON VERB
I cannot get the knot out_of this balloon , PRON AUX PART VERB DET NOUN PUNCT DET NOUN
and some Jello , CCONJ DET PROPN
open it up , VERB PRON ADP
I guess from the open window out there in the hall , PRON VERB ADP DET ADJ NOUN ADV ADV ADP DET NOUN
you beep beep Adam , PRON VERB VERB PROPN
I do not know , PRON AUX PART VERB
you have some , PRON VERB DET
this is blue , DET AUX ADJ
you ask Ursula , PRON VERB PROPN
if you think you can , SCONJ PRON VERB PRON AUX
that is her bag , DET AUX PRON NOUN
you better put those back up on the desk , PRON ADV VERB DET ADV ADP ADP DET NOUN
I guess it is a daisy , PRON VERB PRON AUX DET NOUN
he has_to write with that , PRON AUX VERB ADP DET
there is your pen , PRON AUX PRON NOUN
that is not red , DET AUX PART ADJ
that is yellow , DET AUX ADJ
do not put them in anyone face , AUX PART VERB PRON ADP PRON VERB
you have got paper over here , PRON AUX VERB NOUN ADV ADV
those are Daddy glasses , DET AUX NOUN NOUN
I do not need one , PRON AUX PART VERB NUM
if you are careful you may have some water , SCONJ PRON AUX ADJ PRON AUX VERB DET NOUN
this is black , DET AUX ADJ
it is on the floor over near the firetruck , PRON AUX ADP DET NOUN ADV SCONJ DET NOUN
you kept moving , PRON VERB VERB
that is Ursula , DET AUX PROPN
that is blue , DET AUX ADJ
I only tied one shoe , PRON ADV VERB NUM NOUN
you may break it dear , PRON AUX VERB PRON ADJ
I do not see a seal , PRON AUX PART VERB DET NOUN
I see a church , PRON VERB DET NOUN
there is your pencil , PRON AUX PRON NOUN
you have_to be careful , PRON PROPN VERB ADJ
here is another one , ADV AUX DET NOUN
leave him on there so he can drive it , VERB PRON ADP ADV SCONJ PRON AUX VERB PRON
you dropped a g , PRON VERB DET NOUN
come and look at my pencil , VERB CCONJ VERB ADP PRON NOUN
he did not , PRON VERB PART
I have got something interesting on mine , PRON AUX VERB PRON ADJ ADP PRON
he scratched himself , PRON VERB PRON
I am watching , PRON AUX VERB
I need some peach jam , PRON VERB DET ADJ NOUN
you fell down on something , PRON VERB ADP ADP PRON
you are welcome , PRON AUX ADJ
Adam use them only on the pad , PROPN VERB PRON ADV ADP DET NOUN
you take it off , PRON VERB PRON ADP
take it out_of your mouth and just pretend , VERB PRON PUNCT PRON NOUN CCONJ ADV VERB
you made a queen , PRON VERB DET NOUN
she can not write with the glove on , PRON AUX PART VERB ADP DET NOUN ADP
it is more fun if you do it , PRON AUX ADV ADJ SCONJ PRON VERB PRON
I do not know , PRON AUX PART VERB
you can put them on your hand , PRON AUX VERB PRON ADP PRON NOUN
she has not finished with that page , PRON AUX PART VERB ADP DET NOUN
up on your shelf , ADP ADP PRON NOUN
do not ride with that cord , AUX PART VERB ADP DET NOUN
that is not Bozo , DET AUX PART PROPN
and two gallons of milk , CCONJ NUM NOUN ADP NOUN
frighten me for , VERB PRON ADP
it is a feather , PRON AUX DET NOUN
that is part of the tape recorder , DET AUX NOUN ADP DET NOUN NOUN
you are not too big , PRON AUX PART ADV ADJ
you keep that , PRON VERB DET
I think that is all I need today thank_you , PRON VERB DET AUX DET PRON VERB NOUN PRON
you do not sit on Mr Cromer briefcase , PRON AUX PART VERB ADP PROPN PROPN NOUN
you are making two bowls of tomato soup , PRON AUX VERB NUM NOUN ADP NOUN NOUN
you dropped them on the cowboy knee , PRON VERB PRON ADP DET ADJ NOUN
you put them on your hand , PRON VERB PRON ADP PRON NOUN
nobody simply asked you to put doughnuts the library , PRON ADV VERB PRON PART VERB NOUN DET NOUN
some twine for clothes line , DET NOUN ADP NOUN NOUN
I am sorry , PRON AUX ADJ
because it would hurt Paul , SCONJ PRON AUX VERB PROPN
you left it out on the table , PRON VERB PRON ADP ADP DET NOUN
some bibs for Paul , DET NOUN ADP PROPN
Yogi riding in the car , NOUN VERB ADP DET NOUN
you put it on , PRON VERB PRON ADP
good morning friend , ADJ NOUN NOUN
let us put the puzzle together , VERB PRON VERB DET NOUN ADV
some shoe polish for Adam , DET NOUN NOUN ADP PROPN
because he is one of your toys , SCONJ PRON AUX NUM ADP PRON NOUN
that is a fastener , DET AUX DET NOUN
I do not know , PRON AUX PART VERB
you do not know , PRON AUX PART VERB
that is for you , DET AUX ADP PRON
do not sit on Mr Cromer briefcase , AUX PART VERB ADP PROPN PROPN NOUN
we made one , PRON VERB NUM
some hooks for my curtain rod , DET NOUN ADP PRON NOUN NOUN
you may break it , PRON AUX VERB PRON
I do not think Paul can have any money , PRON AUX PART VERB PROPN AUX VERB DET NOUN
I think that is about all I need , PRON VERB DET AUX ADP DET PRON VERB
a tall giraffe , DET ADJ NOUN
I do not know , PRON AUX PART VERB
and the record player is in the kitchen , CCONJ DET NOUN NOUN AUX ADP DET NOUN
he does not have fingers , PRON AUX PART VERB NOUN
they would not need a big fire truck for that , PRON AUX PART VERB DET ADJ NOUN NOUN ADP DET
those are two other bears , DET AUX NUM ADJ NOUN
see you have a bag over there , VERB PRON VERB DET NOUN ADV ADV
that is not a story+book , DET AUX PART DET NOUN
playing the piano , VERB DET NOUN
it is a book with numbers , PRON AUX DET NOUN ADP NOUN
these do not say quack , DET AUX PART VERB INTJ
that is a disk , DET AUX DET NOUN
you would have_to give him your wagon , PRON AUX PROPN VERB PRON PRON NOUN
not down your neck , PART ADP PRON NOUN
from a game , ADP DET NOUN
that is a boy with a horse , DET AUX DET NOUN ADP DET NOUN
he has hot cereal , PRON VERB ADJ NOUN
that is nice Adam , DET AUX ADJ PROPN
a disk from a game , DET NOUN ADP DET NOUN
you open them the same way you open peas , PRON VERB PRON DET ADJ NOUN PRON VERB NOUN
they do look like stars , PRON AUX VERB ADP NOUN
I do not think I need anything else thank_you , PRON AUX PART VERB PRON VERB PRON ADV PRON
Celia wears sneakers , PROPN VERB NOUN
from a game , ADP DET NOUN
you do not have anything to pour it in , PRON AUX PART VERB PRON PART VERB PRON ADP
I do not think I have guns , PRON AUX PART VERB PRON VERB NOUN
that is over at the high school , DET AUX ADV ADP DET ADJ NOUN
it is a boy in armor , PRON AUX DET NOUN ADP NOUN
part of a game , NOUN ADP DET NOUN
he does not have fingers either , PRON AUX PART VERB NOUN ADV
you write on paper Adam , PRON VERB ADP NOUN PROPN
I think it is out in the kitchen , PRON VERB PRON AUX ADV ADP DET NOUN
that is probably David game , DET AUX ADV PROPN NOUN
